id,link
org.apache:batik,https://github.com/apache/batik
org.apache:bcel,https://github.com/apache/commons-bcel
org.apache:beanutils,https://github.com/apache/commons-beanutils
org.apache:cocoon,https://github.com/apache/cocoon
org.apache:codec,https://github.com/apache/commons-codec
org.apache:collections,https://github.com/apache/commons-collections
org.apache:commons-cli,https://github.com/apache/commons-cli
org.apache:commons-fileupload,https://github.com/apache/commons-fileupload
org.apache:commons-io,https://github.com/apache/commons-io
org.apache:commons-jelly,https://github.com/apache/commons-jelly
org.apache:commons-jexl,https://github.com/apache/commons-jexl
org.apache:configuration,https://github.com/apache/commons-configuration
org.apache:daemon,https://github.com/apache/commons-daemon
org.apache:dbcp,https://github.com/apache/commons-dbcp
org.apache:dbutils,https://github.com/apache/commons-dbutils
org.apache:digester,https://github.com/apache/commons-digester
org.apache:felix,https://github.com/apache/felix
org.apache:httpclient,https://github.com/apache/httpcomponents-client
org.apache:httpcore,https://github.com/apache/httpcomponents-core
org.apache:jxpath,https://github.com/apache/commons-jxpath
org.apache:net,https://github.com/apache/commons-net
org.apache:santuario,https://github.com/apache/santuario-java
org.apache:validator,https://github.com/apache/commons-validator
org.apache:vfs,https://github.com/apache/commons-vfs
org.apache:zookeeper,https://github.com/apache/zookeeper.git
org.apache:archiva,https://github.com/apache/archiva
org.apache:cayenne,https://github.com/apache/cayenne
org.apache:thrift,https://github.com/apache/thrift
